Name,DT Name,DT Notation
11a_12,11a_12,[4; 8; 10; 16; 2; 20; 22; 18; 6; 14; 12]
11a_13,11a_13,[4; 8; 10; 16; 2; 22; 20; 18; 6; 14; 12]
11a_14,11a_14,[4; 8; 12; 2; 14; 18; 6; 20; 10; 22; 16]
11a_15,11a_15,[4; 8; 12; 2; 14; 18; 6; 20; 22; 10; 16]
11a_16,11a_16,[4; 8; 12; 2; 14; 18; 6; 22; 20; 10; 16]
11a_17,11a_17,[4; 8; 12; 2; 16; 6; 20; 10; 22; 14; 18]
11a_18,11a_18,[4; 8; 12; 2; 16; 6; 20; 18; 10; 22; 14]
11a_19,11a_19,[4; 8; 12; 2; 16; 18; 6; 20; 22; 14; 10]
11a_20,11a_20,[4; 8; 12; 2; 18; 6; 20; 22; 10; 16; 14]
11a_21,11a_21,[4; 8; 12; 2; 18; 6; 22; 20; 10; 16; 14]
11a_22,11a_22,[4; 8; 12; 2; 18; 14; 6; 20; 22; 10; 16]
11a_23,11a_23,[4; 8; 12; 2; 18; 14; 6; 22; 20; 10; 16]
11a_24,11a_24,[4; 8; 12; 2; 18; 16; 6; 20; 22; 14; 10]
11a_25,11a_25,[4; 8; 12; 2; 18; 20; 6; 10; 22; 14; 16]
11a_26,11a_26,[4; 8; 12; 2; 20; 18; 6; 10; 22; 14; 16]
11a_27,11a_27,[4; 8; 12; 14; 2; 18; 22; 20; 10; 16; 6]
11a_28,11a_28,[4; 8; 12; 16; 2; 18; 20; 22; 10; 6; 14]
11a_29,11a_29,[4; 8; 12; 16; 2; 18; 22; 20; 10; 6; 14]
11a_30,11a_30,[4; 8; 12; 18; 2; 16; 20; 6; 10; 22; 14]
11a_31,11a_31,[4; 8; 14; 2; 16; 18; 6; 22; 20; 10; 12]
11a_32,11a_32,[4; 8; 14; 2; 16; 18; 6; 22; 20; 12; 10]
11a_33,11a_33,[4; 8; 14; 2; 16; 18; 20; 6; 10; 22; 12]
11a_34,11a_34,[4; 8; 14; 2; 16; 18; 20; 6; 22; 12; 10]
11a_35,11a_35,[4; 8; 14; 2; 16; 18; 22; 6; 20; 12; 10]
11a_36,11a_36,[4; 8; 14; 2; 16; 20; 6; 12; 22; 10; 18]
11a_37,11a_37,[4; 8; 14; 2; 16; 20; 18; 6; 22; 12; 10]
11a_38,11a_38,[4; 8; 14; 2; 18; 16; 20; 6; 10; 22; 12]
11a_39,11a_39,[4; 8; 14; 2; 18; 20; 6; 22; 12; 10; 16]
11a_40,11a_40,[4; 8; 14; 2; 18; 20; 16; 6; 22; 10; 12]
11a_41,11a_41,[4; 8; 14; 2; 18; 20; 16; 6; 22; 12; 10]
11a_42,11a_42,[4; 8; 14; 2; 20; 16; 6; 12; 22; 10; 18]
11a_43,11a_43,[4; 8; 14; 2; 20; 16; 6; 18; 12; 22; 10]
11a_44,11a_44,[4; 8; 14; 2; 20; 16; 18; 6; 12; 22; 10]
11a_45,11a_45,[4; 8; 14; 2; 20; 18; 6; 22; 12; 10; 16]
11a_46,11a_46,[4; 8; 14; 2; 20; 18; 16; 6; 12; 22; 10]
11a_47,11a_47,[4; 8; 14; 2; 20; 22; 18; 6; 12; 16; 10]
11a_48,11a_48,[4; 8; 14; 10; 2; 16; 20; 6; 22; 12; 18]
11a_49,11a_49,[4; 8; 14; 10; 2; 18; 6; 20; 22; 12; 16]
11a_50,11a_50,[4; 8; 14; 10; 2; 18; 6; 22; 20; 12; 16]
11a_51,11a_51,[4; 8; 14; 10; 2; 20; 16; 6; 22; 12; 18]
11a_52,11a_52,[4; 8; 14; 12; 2; 18; 22; 20; 10; 16; 6]
11a_53,11a_53,[4; 8; 14; 16; 2; 18; 20; 22; 10; 12; 6]
11a_54,11a_54,[4; 8; 14; 16; 2; 18; 20; 22; 12; 10; 6]
11a_55,11a_55,[4; 8; 16; 2; 18; 20; 22; 6; 14; 10; 12]
11a_56,11a_56,[4; 8; 16; 2; 18; 20; 22; 6; 14; 12; 10]
11a_57,11a_57,[4; 8; 16; 2; 20; 22; 18; 6; 12; 14; 10]
11a_58,11a_58,[4; 8; 16; 2; 20; 22; 18; 6; 14; 12; 10]
11a_59,11a_59,[4; 8; 16; 2; 22; 20; 18; 6; 14; 12; 10]
11a_60,11a_60,[4; 8; 16; 10; 2; 18; 20; 6; 22; 12; 14]
11a_61,11a_61,[4; 8; 16; 10; 2; 18; 20; 6; 22; 14; 12]
11a_62,11a_62,[4; 8; 16; 10; 2; 18; 20; 22; 6; 12; 14]
11a_63,11a_63,[4; 8; 16; 10; 2; 18; 20; 22; 6; 14; 12]
11a_64,11a_64,[4; 8; 16; 10; 2; 20; 22; 18; 6; 14; 12]
11a_65,11a_65,[4; 8; 16; 10; 2; 22; 20; 18; 6; 14; 12]
11a_66,11a_66,[4; 8; 16; 12; 2; 18; 20; 22; 10; 6; 14]
11a_67,11a_67,[4; 8; 16; 12; 2; 18; 22; 20; 10; 6; 14]
11a_68,11a_68,[4; 8; 16; 14; 2; 18; 20; 22; 10; 12; 6]
11a_69,11a_69,[4; 8; 16; 14; 2; 18; 20; 22; 12; 10; 6]
11a_70,11a_70,[4; 8; 18; 12; 2; 16; 20; 6; 10; 22; 14]
11a_71,11a_71,[4; 10; 12; 14; 2; 22; 18; 20; 6; 8; 16]
11a_72,11a_72,[4; 10; 12; 14; 2; 22; 18; 20; 8; 6; 16]
11a_73,11a_73,[4; 10; 12; 14; 16; 2; 18; 20; 22; 6; 8]
11a_74,11a_74,[4; 10; 12; 14; 18; 2; 6; 20; 22; 8; 16]
11a_75,11a_75,[4; 10; 12; 14; 18; 2; 6; 22; 20; 8; 16]
11a_76,11a_76,[4; 10; 12; 14; 18; 2; 20; 8; 22; 6; 16]
11a_77,11a_77,[4; 10; 12; 14; 18; 2; 22; 20; 8; 16; 6]
11a_78,11a_78,[4; 10; 12; 14; 20; 2; 16; 6; 22; 8; 18]
11a_79,11a_79,[4; 10; 12; 14; 20; 2; 18; 8; 22; 6; 16]
11a_80,11a_80,[4; 10; 12; 14; 22; 2; 18; 20; 6; 8; 16]
11a_81,11a_81,[4; 10; 12; 14; 22; 2; 18; 20; 8; 6; 16]
11a_82,11a_82,[4; 10; 12; 16; 2; 22; 18; 20; 6; 14; 8]
11a_83,11a_83,[4; 10; 12; 16; 2; 22; 18; 20; 8; 14; 6]
11a_84,11a_84,[4; 10; 12; 16; 2; 22; 20; 18; 6; 14; 8]
11a_85,11a_85,[4; 10; 12; 16; 2; 22; 20; 18; 8; 14; 6]
11a_86,11a_86,[4; 10; 12; 16; 18; 2; 20; 6; 8; 22; 14]
11a_87,11a_87,[4; 10; 12; 16; 18; 2; 20; 8; 6; 22; 14]
11a_88,11a_88,[4; 10; 12; 16; 18; 2; 20; 22; 8; 6; 14]
11a_89,11a_89,[4; 10; 12; 16; 18; 2; 22; 6; 20; 8; 14]
11a_90,11a_90,[4; 10; 12; 16; 18; 2; 22; 20; 8; 6; 14]
11a_91,11a_91,[4; 10; 12; 16; 20; 2; 22; 18; 8; 6; 14]
11a_92,11a_92,[4; 10; 12; 16; 22; 2; 18; 20; 8; 14; 6]
11a_93,11a_93,[4; 10; 12; 16; 22; 2; 20; 18; 8; 14; 6]
11a_94,11a_94,[4; 10; 12; 18; 2; 8; 20; 22; 6; 16; 14]
11a_95,11a_95,[4; 10; 12; 18; 2; 8; 22; 20; 6; 16; 14]
11a_96,11a_96,[4; 10; 12; 18; 14; 2; 22; 8; 20; 6; 16]
11a_97,11a_97,[4; 10; 12; 18; 16; 2; 20; 22; 8; 6; 14]
11a_98,11a_98,[4; 10; 12; 18; 16; 2; 22; 20; 8; 6; 14]
11a_99,11a_99,[4; 10; 12; 20; 16; 2; 18; 8; 22; 6; 14]
11a_100,11a_100,[4; 10; 12; 20; 16; 2; 22; 8; 14; 6; 18]
