Name,DT Name,PD Notation
10_29,10a_53,[[2;15;3;16];[4;2;5;1];[6;11;7;12];[8;18;9;17];[10;20;11;19];[12;5;13;6];[14;3;15;4];[16;14;17;13];[18;10;19;9];[20;8;1;7]]
10_30,10a_34,[[1;14;2;15];[3;17;4;16];[5;11;6;10];[7;19;8;18];[9;1;10;20];[11;5;12;4];[13;2;14;3];[15;13;16;12];[17;9;18;8];[19;7;20;6]]
10_31,10a_69,[[2;6;3;5];[4;16;5;15];[6;2;7;1];[8;17;9;18];[10;19;11;20];[12;7;13;8];[14;4;15;3];[16;14;17;13];[18;11;19;12];[20;9;1;10]]
10_32,10a_55,[[2;14;3;13];[4;10;5;9];[6;15;7;16];[8;17;9;18];[10;20;11;19];[12;2;13;1];[14;12;15;11];[16;7;17;8];[18;5;19;6];[20;4;1;3]]
10_33,10a_109,[[6;2;7;1];[14;6;15;5];[20;15;1;16];[16;7;17;8];[8;19;9;20];[18;9;19;10];[10;17;11;18];[2;14;3;13];[12;4;13;3];[4;12;5;11]]
10_34,10a_19,[[1;7;2;6];[3;14;4;15];[5;9;6;8];[7;3;8;2];[9;20;10;1];[11;18;12;19];[13;16;14;17];[15;4;16;5];[17;12;18;13];[19;10;20;11]]
10_35,10a_23,[[1;11;2;10];[3;18;4;19];[5;3;6;2];[7;14;8;15];[9;12;10;13];[11;1;12;20];[13;8;14;9];[15;6;16;7];[17;4;18;5];[19;17;20;16]]
10_36,10a_5,[[2;15;3;16];[4;14;5;13];[6;12;7;11];[8;18;9;17];[10;8;11;7];[12;6;13;5];[14;20;15;19];[16;1;17;2];[18;10;19;9];[20;4;1;3]]
10_37,10a_49,[[4;2;5;1];[10;4;11;3];[12;8;13;7];[8;12;9;11];[18;15;19;16];[16;5;17;6];[6;17;7;18];[20;13;1;14];[14;19;15;20];[2;10;3;9]]
10_38,10a_29,[[2;16;3;15];[4;12;5;11];[6;10;7;9];[8;17;9;18];[10;6;11;5];[12;20;13;19];[14;2;15;1];[16;14;17;13];[18;7;19;8];[20;4;1;3]]
10_39,10a_26,[[1;14;2;15];[3;17;4;16];[5;19;6;18];[7;11;8;10];[9;1;10;20];[11;7;12;6];[13;2;14;3];[15;13;16;12];[17;5;18;4];[19;9;20;8]]
10_40,10a_30,[[2;11;3;12];[4;18;5;17];[6;19;7;20];[8;13;9;14];[10;1;11;2];[12;9;13;10];[14;5;15;6];[16;4;17;3];[18;16;19;15];[20;7;1;8]]
10_41,10a_35,[[1;14;2;15];[3;17;4;16];[5;10;6;11];[7;19;8;18];[9;6;10;7];[11;1;12;20];[13;2;14;3];[15;13;16;12];[17;9;18;8];[19;5;20;4]]
10_42,10a_31,[[1;9;2;8];[3;18;4;19];[5;14;6;15];[7;11;8;10];[9;3;10;2];[11;20;12;1];[13;17;14;16];[15;4;16;5];[17;13;18;12];[19;6;20;7]]
10_43,10a_52,[[4;2;5;1];[10;4;11;3];[14;8;15;7];[20;11;1;12];[12;19;13;20];[8;14;9;13];[18;15;19;16];[16;5;17;6];[6;17;7;18];[2;10;3;9]]
10_44,10a_32,[[1;14;2;15];[3;17;4;16];[5;20;6;1];[7;19;8;18];[9;7;10;6];[11;5;12;4];[13;2;14;3];[15;13;16;12];[17;10;18;11];[19;9;20;8]]
10_45,10a_25,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;14;1;13];[14;7;15;8];[6;19;7;20];[18;15;19;16];[16;10;17;9];[8;18;9;17]]
10_46,10a_81,[[1;15;2;14];[3;9;4;8];[5;11;6;10];[7;16;8;17];[9;5;10;4];[11;19;12;18];[13;1;14;20];[15;3;16;2];[17;6;18;7];[19;13;20;12]]
10_47,10a_15,[[2;9;3;10];[4;11;5;12];[6;17;7;18];[8;1;9;2];[10;3;11;4];[12;5;13;6];[14;20;15;19];[16;14;17;13];[18;7;19;8];[20;16;1;15]]
10_48,10a_79,[[6;2;7;1];[8;4;9;3];[14;6;15;5];[20;15;1;16];[16;9;17;10];[18;11;19;12];[10;17;11;18];[12;19;13;20];[2;8;3;7];[4;14;5;13]]
10_49,10a_13,[[1;7;2;6];[3;17;4;16];[5;9;6;8];[7;3;8;2];[9;15;10;14];[11;19;12;18];[13;1;14;20];[15;5;16;4];[17;11;18;10];[19;13;20;12]]
10_50,10a_82,[[1;10;2;11];[3;19;4;18];[5;13;6;12];[7;15;8;14];[9;17;10;16];[11;20;12;1];[13;9;14;8];[15;7;16;6];[17;3;18;2];[19;5;20;4]]
10_51,10a_16,[[2;18;3;17];[4;11;5;12];[6;13;7;14];[8;15;9;16];[10;19;11;20];[12;7;13;8];[14;5;15;6];[16;2;17;1];[18;9;19;10];[20;4;1;3]]
10_52,10a_80,[[1;13;2;12];[3;19;4;18];[5;10;6;11];[7;14;8;15];[9;16;10;17];[11;1;12;20];[13;8;14;9];[15;6;16;7];[17;3;18;2];[19;5;20;4]]
10_53,10a_14,[[1;7;2;6];[3;17;4;16];[5;9;6;8];[7;3;8;2];[9;15;10;14];[11;19;12;18];[13;1;14;20];[15;5;16;4];[17;13;18;12];[19;11;20;10]]
10_54,10a_48,[[2;16;3;15];[4;9;5;10];[6;11;7;12];[8;19;9;20];[10;5;11;6];[12;18;13;17];[14;2;15;1];[16;14;17;13];[18;7;19;8];[20;4;1;3]]
10_55,10a_9,[[2;10;3;9];[4;18;5;17];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;20;15;19];[16;14;17;13];[18;4;19;3];[20;16;1;15]]
10_56,10a_28,[[2;16;3;15];[4;10;5;9];[6;12;7;11];[8;17;9;18];[10;6;11;5];[12;20;13;19];[14;2;15;1];[16;14;17;13];[18;7;19;8];[20;4;1;3]]
10_57,10a_6,[[1;4;2;5];[3;16;4;17];[5;20;6;1];[7;13;8;12];[9;7;10;6];[11;18;12;19];[13;9;14;8];[15;2;16;3];[17;10;18;11];[19;14;20;15]]
10_58,10a_20,[[2;15;3;16];[4;10;5;9];[6;13;7;14];[8;6;9;5];[10;20;11;19];[12;7;13;8];[14;18;15;17];[16;1;17;2];[18;12;19;11];[20;4;1;3]]
10_59,10a_2,[[1;4;2;5];[3;17;4;16];[5;20;6;1];[7;14;8;15];[9;7;10;6];[11;19;12;18];[13;8;14;9];[15;11;16;10];[17;3;18;2];[19;13;20;12]]
10_60,10a_1,[[2;15;3;16];[4;8;5;7];[6;11;7;12];[8;14;9;13];[10;17;11;18];[12;5;13;6];[14;20;15;19];[16;1;17;2];[18;9;19;10];[20;4;1;3]]
10_61,10a_123,[[1;9;2;8];[3;16;4;17];[5;14;6;15];[7;1;8;20];[9;3;10;2];[11;19;12;18];[13;6;14;7];[15;4;16;5];[17;11;18;10];[19;13;20;12]]
10_62,10a_41,[[2;11;3;12];[4;18;5;17];[6;13;7;14];[8;19;9;20];[10;1;11;2];[12;5;13;6];[14;7;15;8];[16;4;17;3];[18;16;19;15];[20;9;1;10]]
10_63,10a_51,[[1;9;2;8];[3;19;4;18];[5;17;6;16];[7;11;8;10];[9;3;10;2];[11;15;12;14];[13;1;14;20];[15;7;16;6];[17;5;18;4];[19;13;20;12]]
10_64,10a_122,[[2;11;3;12];[4;18;5;17];[6;14;7;13];[8;16;9;15];[10;1;11;2];[12;19;13;20];[14;8;15;7];[16;4;17;3];[18;6;19;5];[20;9;1;10]]
10_65,10a_42,[[1;9;2;8];[3;16;4;17];[5;14;6;15];[7;11;8;10];[9;3;10;2];[11;18;12;19];[13;20;14;1];[15;4;16;5];[17;6;18;7];[19;12;20;13]]
